Gender,EngagingMethod,MotivationDuringTL,HandsOnActivityHelp,TLPerformance,GroupDiscussion,MultimediaEffectiveness,TeacherInteraction,IMEncourageness,PeerLearning,Retention,ELinRealWorld,PreferMedia,ChallengesTL,AgeGroup,Gender_numeric,AgeGroup_numeric,EngagingMethod_numeric,TLPerformance_numeric,GroupDiscussion_numeric,MultimediaEffectiveness_numeric,TeacherInteraction_numeric,IMEncourageness_numeric,ELinRealWorld_numeric,PreferMedia_numeric,ChallengesTL_numeric,MotivationDuringTL_numeric,HandsOnActivityHelp_numeric,PeerLearning_numeric,Retention_numeric
Male,Experiential methods,Rarely,Strongly agree,No,Very effective,Good,Rarely,Strongly agree,Strongly agree,Experiential methods,Very effective,Agree,Lack of engagement,Above 34,0,3,1,0,3,2,3,3,3,0,0,2,5,6,2
Male,Experiential methods,Sometimes,Strongly agree,No,Very effective,Excellent,Often,Agree,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,25–34,0,2,1,0,3,1,2,0,3,3,1,3,5,5,2
Female,Interactive methods,Rarely,Strongly agree,Not sure,Very effective,Excellent,Sometimes,Neutral,Yes,Experiential methods,Effective,Neutral,One-way communication,18–24,1,1,2,1,3,1,4,2,0,2,2,2,5,5,2
Male,Traditional lectures,Often,Agree,Yes,Neutral,Excellent,Often,Neutral,Yes,Traditional lectures,Neutral,Strongly agree,Lack of engagement,18–24,0,1,3,2,2,1,2,2,2,3,0,4,4,5,1
Female,Experiential methods,Often,Agree,Yes,Neutral,Good,Sometimes,Agree,No,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,25–34,1,2,1,2,2,2,4,0,3,3,1,4,4,1,2
Female,Interactive methods,Often,Agree,Yes,Very effective,Excellent,Sometimes,Agree,Yes,Interactive methods,Very effective,Strongly agree,No hands-on learning opportunities,25–34,1,2,2,2,3,1,4,0,3,3,1,4,4,5,3
Male,Traditional lectures,Always,Strongly agree,Yes,Effective,Excellent,Always,Strongly agree,Strongly agree,Traditional lectures,Very effective,Strongly agree,One-way communication,25–34,0,2,3,2,0,1,0,3,3,3,2,5,5,6,1
Male,Traditional lectures,Always,Agree,Yes,Very effective,Good,Always,Agree,Yes,Traditional lectures,Effective,Strongly agree,One-way communication,18–24,0,1,3,2,3,2,0,0,0,3,2,5,4,5,1
Male,Interactive methods,Sometimes,Strongly agree,Yes,Effective,Good,Sometimes,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,18–24,0,1,2,2,0,2,4,0,0,0,0,3,5,5,3
Male,Traditional lectures,Often,Agree,Yes,Neutral,Excellent,Always,Strongly agree,Sometimes,Traditional lectures,Neutral,Neutral,One-way communication,18–24,0,1,3,2,2,1,0,3,2,2,2,4,4,3,1
Male,Interactive methods,Often,Agree,Yes,Neutral,Good,Often,Neutral,Yes,Interactive methods,Neutral,Agree,Lack of engagement,18–24,0,1,2,2,2,2,2,2,2,0,0,4,4,5,3
Male,Experiential methods,Sometimes,Agree,Not sure,Effective,Excellent,Rarely,Agree,Yes,Experiential methods,Effective,Strongly agree,No hands-on learning opportunities,18–24,0,1,1,1,0,1,3,0,0,3,1,3,4,5,2
Female,Interactive methods,Sometimes,Agree,Not sure,Neutral,Average,Rarely,Neutral,No,Experiential methods,Effective,Disagree,No hands-on learning opportunities,18–24,1,1,2,1,2,0,3,2,0,1,1,3,4,1,2
Female,Experiential methods,Often,Agree,Yes,Effective,Good,Always,Agree,Sometimes,Experiential methods,Effective,Agree,Lack of engagement,18–24,1,1,1,2,0,2,0,0,0,0,0,4,4,3,2
Female,Experiential methods,Rarely,Strongly agree,No,Very effective,Average,Sometimes,Strongly agree,Strongly agree,Experiential methods,Very effective,Neutral,Lack of engagement,18–24,1,1,1,0,3,0,4,3,3,2,0,2,5,6,2
Male,Interactive methods,Sometimes,Strongly agree,No,Effective,Good,Rarely,Strongly agree,Yes,Interactive methods,Very effective,Strongly agree,One-way communication,18–24,0,1,2,0,0,2,3,3,3,3,2,3,5,5,3
Female,Interactive methods,Sometimes,Neutral,Not sure,Neutral,Good,Rarely,Neutral,Yes,Interactive methods,Neutral,Agree,One-way communication,18–24,1,1,2,1,2,2,3,2,2,0,2,3,3,5,3
Female,Interactive methods,Sometimes,Strongly agree,No,Very effective,Excellent,Rarely,Agree,Strongly agree,Interactive methods,Effective,Strongly agree,One-way communication,25–34,1,2,2,0,3,1,3,0,0,3,2,3,5,6,3
Female,Experiential methods,Rarely,Strongly agree,Not sure,Very effective,Excellent,Sometimes,Agree,Yes,Interactive methods,Effective,Strongly agree,No hands-on learning opportunities,18–24,1,1,1,1,3,1,4,0,0,3,1,2,5,5,3
Male,Experiential methods,Sometimes,Strongly agree,Yes,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Neutral,Neutral,No hands-on learning opportunities,18–24,0,1,1,2,0,1,4,0,2,2,1,3,5,5,2
Female,Interactive methods,Often,Strongly agree,Yes,Effective,Excellent,Often,Agree,Strongly agree,Experiential methods,Very effective,Strongly agree,One-way communication,18–24,1,1,2,2,0,1,2,0,3,3,2,4,5,6,2
Male,Interactive methods,Sometimes,Agree,Not sure,Very effective,Excellent,Often,Agree,Strongly agree,Experiential methods,Effective,Agree,Lack of engagement,18–24,0,1,2,1,3,1,2,0,0,0,0,3,4,6,2
Female,Experiential methods,Often,Strongly agree,No,Neutral,Excellent,Often,Neutral,No,Experiential methods,Very effective,Neutral,Lack of engagement,18–24,1,1,1,0,2,1,2,2,3,2,0,4,5,1,2
Male,Experiential methods,Sometimes,Strongly agree,Not sure,Very effective,Good,Sometimes,Agree,Sometimes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,18–24,0,1,1,1,3,2,4,0,3,0,1,3,5,3,2
Male,Interactive methods,Rarely,Agree,Not sure,Effective,Good,Often,Agree,Yes,Experiential methods,Very effective,Disagree,Lack of engagement,18–24,0,1,2,1,0,2,2,0,3,1,0,2,4,5,2
Female,Interactive methods,Always,Agree,Yes,Very effective,Excellent,Always,Agree,Sometimes,Traditional lectures,Effective,Agree,One-way communication,18–24,1,1,2,2,3,1,0,0,0,0,2,5,4,3,1
Male,Experiential methods,Often,Strongly agree,Not sure,Effective,Good,Sometimes,Agree,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,18–24,0,1,1,1,0,2,4,0,3,3,1,4,5,5,2
Female,Traditional lectures,Always,Agree,Not sure,Effective,Excellent,Often,Neutral,Yes,Experiential methods,Effective,Agree,Lack of engagement,25–34,1,2,3,1,0,1,2,2,0,0,0,5,4,5,2
Female,Traditional lectures,Often,Strongly agree,Yes,Effective,Excellent,Rarely,Agree,Yes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,18–24,1,1,3,2,0,1,3,0,3,0,1,4,5,5,2
Male,Experiential methods,Sometimes,Agree,Not sure,Effective,Good,Often,Neutral,Yes,Experiential methods,Very effective,Neutral,One-way communication,18–24,0,1,1,1,0,2,2,2,3,2,2,3,4,5,2
Female,Experiential methods,Often,Strongly agree,Yes,Very effective,Good,Rarely,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,18–24,1,1,1,2,3,2,3,0,0,0,0,4,5,5,3
Male,Traditional lectures,Always,Strongly agree,Yes,Neutral,Average,Sometimes,Neutral,Strongly agree,Interactive methods,Neutral,Disagree,Lack of engagement,18–24,0,1,3,2,2,0,4,2,2,1,0,5,5,6,3
Female,Interactive methods,Often,Agree,Yes,Effective,Good,Often,Strongly agree,Strongly agree,Experiential methods,Very effective,Agree,One-way communication,18–24,1,1,2,2,0,2,2,3,3,0,2,4,4,6,2
Male,Traditional lectures,Often,Agree,Yes,Effective,Excellent,Always,Agree,Strongly agree,Experiential methods,Effective,Strongly agree,No hands-on learning opportunities,18–24,0,1,3,2,0,1,0,0,0,3,1,4,4,6,2
Male,Traditional lectures,Sometimes,Strongly agree,Yes,Effective,Good,Often,Strongly agree,Strongly agree,Experiential methods,Effective,Strongly agree,No hands-on learning opportunities,18–24,0,1,3,2,0,2,2,3,0,3,1,3,5,6,2
Female,Interactive methods,Sometimes,Agree,Yes,Very effective,Average,Sometimes,Strongly agree,Yes,Traditional lectures,Effective,Agree,Lack of engagement,Above 34,1,3,2,2,3,0,4,3,0,0,0,3,4,5,1
Male,Interactive methods,Sometimes,Strongly agree,Not sure,Very effective,Excellent,Often,Strongly agree,Strongly agree,Experiential methods,Effective,Strongly agree,One-way communication,Above 34,0,3,2,1,3,1,2,3,0,3,2,3,5,6,2
Male,Experiential methods,Often,Agree,No,Effective,Good,Sometimes,Agree,Strongly agree,Experiential methods,Very effective,Agree,No hands-on learning opportunities,18–24,0,1,1,0,0,2,4,0,3,0,1,4,4,6,2
Male,Experiential methods,Rarely,Strongly agree,No,Very effective,Excellent,Sometimes,Strongly agree,Strongly agree,Experiential methods,Very effective,Strongly agree,One-way communication,18–24,0,1,1,0,3,1,4,3,3,3,2,2,5,6,2
Male,Experiential methods,Sometimes,Strongly agree,Not sure,Very effective,Average,Often,Strongly agree,Yes,Experiential methods,Very effective,Strongly agree,Lack of engagement,18–24,0,1,1,1,3,0,2,3,3,3,0,3,5,5,2
Female,Experiential methods,Often,Agree,Yes,Effective,Excellent,Rarely,Agree,Yes,Experiential methods,Effective,Strongly agree,No hands-on learning opportunities,18–24,1,1,1,2,0,1,3,0,0,3,1,4,4,5,2
Female,Interactive methods,Often,Agree,Yes,Neutral,Excellent,Sometimes,Strongly agree,Sometimes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,18–24,1,1,2,2,2,1,4,3,3,3,1,4,4,3,2
Male,Traditional lectures,Always,Strongly agree,Yes,Very effective,Excellent,Always,Strongly agree,Strongly agree,Traditional lectures,Very effective,Strongly agree,Lack of engagement,18–24,0,1,3,2,3,1,0,3,3,3,0,5,5,6,1
Female,Interactive methods,Sometimes,Agree,Yes,Very effective,Excellent,Rarely,Agree,Strongly agree,Interactive methods,Effective,Strongly agree,One-way communication,18–24,1,1,2,2,3,1,3,0,0,3,2,3,4,6,3
Male,Experiential methods,Sometimes,Agree,No,Very effective,Good,Rarely,Strongly agree,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,18–24,0,1,1,0,3,2,3,3,3,3,1,3,4,5,2
Male,Interactive methods,Sometimes,Agree,Yes,Very effective,Excellent,Often,Strongly agree,Yes,Interactive methods,Effective,Strongly agree,One-way communication,Above 34,0,3,2,2,3,1,2,3,0,3,2,3,4,5,3
Female,Experiential methods,Sometimes,Agree,No,Ineffective,Average,Sometimes,Disagree,No,Experiential methods,Neutral,Neutral,Lack of engagement,18–24,1,1,1,0,1,0,4,1,2,2,0,3,4,1,2
Male,Experiential methods,Rarely,Strongly agree,No,Effective,Average,Often,Strongly agree,Yes,Experiential methods,Effective,Neutral,No hands-on learning opportunities,18–24,0,1,1,0,0,0,2,3,0,2,1,2,5,5,2
Male,Experiential methods,Rarely,Strongly agree,No,Effective,Excellent,Always,Neutral,Strongly agree,Experiential methods,Effective,Strongly agree,One-way communication,18–24,0,1,1,0,0,1,0,2,0,3,2,2,5,6,2
Male,Experiential methods,Sometimes,Agree,Not sure,Very effective,Excellent,Often,Agree,Yes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,18–24,0,1,1,1,3,1,2,0,3,0,1,3,4,5,2
Male,Traditional lectures,Often,Agree,Yes,Effective,Good,Often,Agree,Yes,Experiential methods,Effective,Agree,No hands-on learning opportunities,18–24,0,1,3,2,0,2,2,0,0,0,1,4,4,5,2
Male,Traditional lectures,Rarely,Agree,Not sure,Effective,Good,Sometimes,Agree,Yes,Interactive methods,Effective,Strongly agree,One-way communication,18–24,0,1,3,1,0,2,4,0,0,3,2,2,4,5,3
Female,Experiential methods,Sometimes,Neutral,Not sure,Very effective,Excellent,Rarely,Neutral,Yes,Experiential methods,Very effective,Strongly agree,Lack of engagement,18–24,1,1,1,1,3,1,3,2,3,3,0,3,3,5,2
Male,Experiential methods,Sometimes,Agree,Yes,Effective,Good,Often,Agree,Yes,Experiential methods,Neutral,Agree,Lack of engagement,18–24,0,1,1,2,0,2,2,0,2,0,0,3,4,5,2
Male,Experiential methods,Often,Agree,Yes,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Effective,Strongly agree,One-way communication,18–24,0,1,1,2,0,1,4,0,0,3,2,4,4,5,2
Male,Traditional lectures,Rarely,Strongly disagree,Not sure,Very ineffective,Poor,Rarely,Strongly disagree,No,Experiential methods,Ineffective,Strongly disagree,No hands-on learning opportunities,18–24,0,1,3,1,4,4,3,4,1,4,1,2,1,1,2
Male,Experiential methods,Rarely,Strongly agree,No,Effective,Good,Sometimes,Strongly agree,Strongly agree,Experiential methods,Very effective,Agree,No hands-on learning opportunities,18–24,0,1,1,0,0,2,4,3,3,0,1,2,5,6,2
Female,Experiential methods,Sometimes,Agree,Not sure,Effective,Average,Sometimes,Agree,Yes,Experiential methods,Very effective,Agree,Lack of engagement,18–24,1,1,1,1,0,0,4,0,3,0,0,3,4,5,2
Female,Traditional lectures,Sometimes,Agree,Yes,Very effective,Excellent,Sometimes,Neutral,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,18–24,1,1,3,2,3,1,4,2,3,3,1,3,4,5,2
Female,Experiential methods,Often,Strongly agree,Not sure,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,18–24,1,1,1,1,0,1,4,0,3,3,1,4,5,5,2
Female,Interactive methods,Sometimes,Neutral,Yes,Neutral,Good,Often,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,18–24,1,1,2,2,2,2,2,0,0,0,0,3,3,5,3
Female,Experiential methods,Always,Agree,Yes,Neutral,Excellent,Sometimes,Neutral,Sometimes,Experiential methods,Effective,Strongly agree,No hands-on learning opportunities,18–24,1,1,1,2,2,1,4,2,0,3,1,5,4,3,2
Female,Experiential methods,Often,Agree,Yes,Neutral,Good,Rarely,Neutral,No,Experiential methods,Effective,Strongly agree,Lack of engagement,18–24,1,1,1,2,2,2,3,2,0,3,0,4,4,1,2
Female,Experiential methods,Sometimes,Strongly agree,No,Effective,Good,Rarely,Agree,Yes,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,18–24,1,1,1,0,0,2,3,0,3,3,1,3,5,5,2
Female,Experiential methods,Sometimes,Strongly agree,Not sure,Effective,Good,Often,Strongly agree,Strongly agree,Experiential methods,Effective,Strongly agree,Lack of engagement,18–24,1,1,1,1,0,2,2,3,0,3,0,3,5,6,2
Female,Interactive methods,Sometimes,Agree,Yes,Very effective,Good,Always,Strongly agree,Yes,Experiential methods,Very effective,Agree,Lack of engagement,18–24,1,1,2,2,3,2,0,3,3,0,0,3,4,5,2
Female,Experiential methods,Rarely,Strongly agree,Not sure,Very effective,Good,Rarely,Agree,Strongly agree,Experiential methods,Neutral,Agree,Lack of engagement,18–24,1,1,1,1,3,2,3,0,2,0,0,2,5,6,2
Female,Experiential methods,Sometimes,Agree,No,Very effective,Good,Sometimes,Agree,Yes,Experiential methods,Very effective,Agree,One-way communication,18–24,1,1,1,0,3,2,4,0,3,0,2,3,4,5,2
Female,Experiential methods,Rarely,Strongly agree,Not sure,Effective,Good,Rarely,Agree,Yes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,18–24,1,1,1,1,0,2,3,0,3,0,1,2,5,5,2
Male,Interactive methods,Often,Disagree,Yes,Very ineffective,Good,Often,Strongly disagree,Sometimes,Interactive methods,Neutral,Agree,No hands-on learning opportunities,25–34,0,2,2,2,4,2,2,4,2,0,1,4,2,3,3
Female,Experiential methods,Often,Strongly agree,Not sure,Very effective,Good,Sometimes,Agree,Yes,Experiential methods,Very effective,Neutral,No hands-on learning opportunities,18–24,1,1,1,1,3,2,4,0,3,2,1,4,5,5,2
Male,Interactive methods,Often,Agree,Yes,Very effective,Excellent,Often,Strongly agree,Yes,Interactive methods,Effective,Strongly agree,One-way communication,18–24,0,1,2,2,3,1,2,3,0,3,2,4,4,5,3
Male,Experiential methods,Sometimes,Strongly agree,No,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Very effective,Strongly agree,Lack of engagement,18–24,0,1,1,0,0,1,4,0,3,3,0,3,5,5,2
Male,Experiential methods,Always,Agree,Yes,Effective,Good,Always,Agree,Strongly agree,Traditional lectures,Effective,Strongly agree,One-way communication,18–24,0,1,1,2,0,2,0,0,0,3,2,5,4,6,1
Male,Experiential methods,Sometimes,Strongly agree,Not sure,Effective,Good,Rarely,Neutral,Yes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,18–24,0,1,1,1,0,2,3,2,3,0,1,3,5,5,2
Female,Interactive methods,Rarely,Neutral,Not sure,Neutral,Average,Rarely,Neutral,Sometimes,Experiential methods,Effective,Disagree,One-way communication,18–24,1,1,2,1,2,0,3,2,0,1,2,2,3,3,2
Male,Experiential methods,Always,Agree,No,Very effective,Excellent,Often,Agree,Yes,Experiential methods,Very effective,Agree,No hands-on learning opportunities,18–24,0,1,1,0,3,1,2,0,3,0,1,5,4,5,2
Male,Traditional lectures,Always,Strongly agree,Yes,Very effective,Excellent,Often,Strongly agree,Strongly agree,Traditional lectures,Very effective,Strongly agree,No hands-on learning opportunities,18–24,0,1,3,2,3,1,2,3,3,3,1,5,5,6,1
Male,Experiential methods,Often,Strongly agree,No,Very effective,Excellent,Rarely,Strongly agree,Strongly agree,Experiential methods,Very effective,Strongly agree,No hands-on learning opportunities,18–24,0,1,1,0,3,1,3,3,3,3,1,4,5,6,2
Male,Interactive methods,Sometimes,Agree,Yes,Very effective,Excellent,Sometimes,Agree,Yes,Interactive methods,Effective,Agree,One-way communication,18–24,0,1,2,2,3,1,4,0,0,0,2,3,4,5,3
Female,Interactive methods,Sometimes,Agree,Yes,Very effective,Excellent,Sometimes,Agree,Strongly agree,Experiential methods,Very effective,Agree,One-way communication,Above 34,1,3,2,2,3,1,4,0,3,0,2,3,4,6,2
Male,Interactive methods,Sometimes,Agree,No,Effective,Average,Often,Strongly agree,Strongly agree,Interactive methods,Neutral,Neutral,One-way communication,18–24,0,1,2,0,0,0,2,3,2,2,2,3,4,6,3
Male,Experiential methods,Always,Agree,Yes,Very effective,Excellent,Often,Agree,Yes,Experiential methods,Effective,Strongly agree,One-way communication,25–34,0,2,1,2,3,1,2,0,0,3,2,5,4,5,2
Male,Experiential methods,Sometimes,Agree,No,Effective,Good,Often,Agree,No,Experiential methods,Effective,Strongly agree,No hands-on learning opportunities,18–24,0,1,1,0,0,2,2,0,0,3,1,3,4,1,2
Female,Traditional lectures,Always,Neutral,Yes,Effective,Average,Often,Agree,Strongly agree,Traditional lectures,Neutral,Neutral,Lack of engagement,Above 34,1,3,3,2,0,0,2,0,2,2,0,5,3,6,1
Female,Experiential methods,Often,Strongly agree,No,Effective,Excellent,Often,Agree,Yes,Experiential methods,Very effective,Strongly agree,One-way communication,25–34,1,2,1,0,0,1,2,0,3,3,2,4,5,5,2
Male,Traditional lectures,Sometimes,Agree,Yes,Effective,Excellent,Always,Agree,Yes,Interactive methods,Neutral,Agree,One-way communication,18–24,0,1,3,2,0,1,0,0,2,0,2,3,4,5,3
Male,Experiential methods,Always,Neutral,Yes,Very effective,Excellent,Always,Agree,Yes,Interactive methods,Very effective,Strongly agree,Lack of engagement,18–24,0,1,1,2,3,1,0,0,3,3,0,5,3,5,3
Male,Interactive methods,Often,Neutral,Not sure,Very effective,Good,Often,Strongly agree,Strongly agree,Interactive methods,Effective,Strongly agree,One-way communication,Above 34,0,3,2,1,3,2,2,3,0,3,2,4,3,6,3
Female,Experiential methods,Rarely,Agree,Not sure,Very effective,Good,Rarely,Agree,Yes,Interactive methods,Very effective,Neutral,No hands-on learning opportunities,Above 34,1,3,1,1,3,2,3,0,3,2,1,2,4,5,3
Male,Experiential methods,Rarely,Agree,No,Effective,Good,Rarely,Strongly agree,Sometimes,Experiential methods,Effective,Agree,One-way communication,18–24,0,1,1,0,0,2,3,3,0,0,2,2,4,3,2
Male,Interactive methods,Often,Neutral,Yes,Very effective,Good,Sometimes,Agree,Yes,Interactive methods,Effective,Agree,Lack of engagement,18–24,0,1,2,2,3,2,4,0,0,0,0,4,3,5,3
Male,Experiential methods,Sometimes,Neutral,Yes,Neutral,Good,Always,Agree,Yes,Interactive methods,Neutral,Neutral,No hands-on learning opportunities,18–24,0,1,1,2,2,2,0,0,2,2,1,3,3,5,3
Female,Interactive methods,Always,Agree,Yes,Neutral,Excellent,Always,Agree,Strongly agree,Experiential methods,Effective,Neutral,One-way communication,Above 34,1,3,2,2,2,1,0,0,0,2,2,5,4,6,2
Female,Experiential methods,Sometimes,Strongly agree,Not sure,Effective,Excellent,Sometimes,Agree,Yes,Experiential methods,Neutral,Strongly agree,No hands-on learning opportunities,18–24,1,1,1,1,0,1,4,0,2,3,1,3,5,5,2
Female,Experiential methods,Sometimes,Agree,Not sure,Ineffective,Poor,Rarely,Neutral,No,Experiential methods,Neutral,Neutral,Lack of engagement,Above 34,1,3,1,1,1,4,3,2,2,2,0,3,4,1,2
Female,Traditional lectures,Often,Agree,Not sure,Effective,Average,Often,Agree,Yes,Traditional lectures,Effective,Agree,One-way communication,18–24,1,1,3,1,0,0,2,0,0,0,2,4,4,5,1
Male,Experiential methods,Always,Agree,Yes,Effective,Good,Always,Strongly agree,Strongly agree,Interactive methods,Neutral,Strongly agree,One-way communication,18–24,0,1,1,2,0,2,0,3,2,3,2,5,4,6,3
Female,Traditional lectures,Always,Strongly disagree,Yes,Very ineffective,Excellent,Rarely,Strongly disagree,No,Traditional lectures,Very ineffective,Strongly agree,One-way communication,Above 34,1,3,3,2,4,1,3,4,4,3,2,5,1,1,1
